Clinic Name,Location,Phone (partial),Province,Source
Alphendale Clinic,East London,(043) 733-44xx,Eastern Cape,ivote.co.za
Aspiranza Clinic,East London,(043) 733-21xx,Eastern Cape,ivote.co.za
Berlin Clinic,East London,(043) 685-23xx,Eastern Cape,ivote.co.za
Braelyn Clinic,East London,(043) 741-13xx,Eastern Cape,ivote.co.za
Cambridge Clinic,East London,(043) 726-01xx,Eastern Cape,ivote.co.za
Central Clinic,East London,(043) 743-54xx,Eastern Cape,ivote.co.za
Central Clinic (2),East London,(043) 604-84xx,Eastern Cape,ivote.co.za
Chris Hani Clinic,East London,(043) 748-60xx,Eastern Cape,ivote.co.za
Collondale Clinic,East London,(043) 736-61xx,Eastern Cape,ivote.co.za
Drake Road Clinic,East London,(043) 735-16xx,Eastern Cape,ivote.co.za
Fort Grey Clinic,East London,(043) 736-93xx,Eastern Cape,ivote.co.za
Gompo A Clinic,East London,(043) 705-23xx,Eastern Cape,ivote.co.za
Gompo C Clinic,East London,(043) 733-41xx,Eastern Cape,ivote.co.za
Greenfields Clinic,East London,(043) 736-60xx,Eastern Cape,ivote.co.za
John Dube Clinic,East London,(043) 733-37xx,Eastern Cape,ivote.co.za
