Facility Name,Address,Source
Adriaanse Clinic,"40th Avenue, Clarkes Estate, Elsies River",capetown.gov.za
Albow Gardens Community Day Centre,"2 Albow Road, Milnerton",capetown.gov.za
Alphen Clinic,"Alphen Centre, Main Road, Constantia",capetown.gov.za
Bloekombos Clinic,"Sam Nokasela Avenue, Kraaifontein",capetown.gov.za
Blue Downs Clinic,"Bentley Road, Blue Downs",capetown.gov.za
Brackenfell Clinic,"Paradys Street, Brackenfell",capetown.gov.za
Brighton Clinic,"Brighton Street, Kraaifontein",capetown.gov.za
Chapel Street Clinic,"Chapel Street, Woodstock",capetown.gov.za
Chestnut (St Vincent) Satellite Clinic,"St Vincent Drive, Belhar",capetown.gov.za
Claremont Clinic,"40 Old Stanhope Road, Claremont",capetown.gov.za
Crossroads 1 Clinic,"Old Klipfontein Road, Crossroads",capetown.gov.za
Delft South Clinic,"Cnr Boyce Street and Delft Main Road, Delft South",capetown.gov.za
Diep River Clinic,"10 Schaay Road, Diep River",capetown.gov.za
Dr Ivan Toms Community Day Centre,"Cnr Nqubelani and Umbashe Streets, Ext 6, Mfuleni",capetown.gov.za
Driftsands Satellite Clinic,"Cnr Xwayi Street and Nkanti Street, Mfuleni",capetown.gov.za
Eastridge Clinic,"1st Avenue, Eastridge, Mitchells Plain",capetown.gov.za
Eerste River Clinic,"Bobs Way, Eerste River",capetown.gov.za
Elsies River Clinic,"Halt Road, Elsies River",capetown.gov.za
Factreton Clinic,"Cnr 11th and Factreton Avenues, Factreton",capetown.gov.za
Fagan Street Clinic,"Fagan Street, Strand",capetown.gov.za
Fish Hoek Clinic,"61 Central Circle, Fish Hoek",capetown.gov.za
Gordon's Bay Community Day Centre,"Cnr Sir Lowry's Pass Road and Mountainside Boulevard, Gordon's Bay",capetown.gov.za
Gugulethu Clinic,"Cnr NY1 and NY3, Gugulethu",capetown.gov.za
Hanover Park Clinic,"Hanover Park Avenue, Hanover Park",capetown.gov.za
Harmonie Clinic,"Frans Conradie Avenue, Kraaifontein",capetown.gov.za
Hazendal (Silvertown) Satellite Clinic,"Kuils Street, Hazendal",capetown.gov.za
Hout Bay Main Road Clinic,"Imizamo Yethu, Main Road, Hout Bay",capetown.gov.za
Ikhwezi Community Day Centre,"3 Simon Street, Lwandle",capetown.gov.za
Klip Road Clinic,"Cnr Kiewiets and Klip Road, Grassy Park",capetown.gov.za
Kuils River Clinic,"Carinus Street, Kuils River",capetown.gov.za
Kuyasa Community Day Centre,"Ntazane Road, Kuyasa, Khayelitsha",capetown.gov.za
Kuyasa Men's Clinic,"Walter Sisulu Road, Kuyasa, Khayelitsha",capetown.gov.za
Langa Clinic,"Washington Street, Langa",capetown.gov.za
Lansdowne Clinic,"Cnr Lansdowne Road and Church Street, Lansdowne",capetown.gov.za
Lavender Hill Clinic,"74 Grindal Crescent, Lavender Hill",capetown.gov.za
Lentegeur Clinic,"Cnr Merrydale and Melkbos Road, Lentegeur, Mitchells Plain",capetown.gov.za
Leonsdale (Elsies River) Satellite Clinic,"12th Avenue, Leonsdale",capetown.gov.za
Luvuyo Community Day Centre,"Hlela Road, Makhaza, Khayelitsha",capetown.gov.za
Maitland Clinic,"2 Norfolk Road, Maitland",capetown.gov.za
Mandalay (Crossroad 1) Satellite Clinic,"Cnr of Auber Ave and Coates Str, Mandalay",capetown.gov.za
Manenberg Clinic,"Manenberg Avenue, Manenberg",capetown.gov.za
Masincedane Clinic,"Mjondo Avenue, KTC, Nyanga",capetown.gov.za
Masiphumelele Clinic,"14 Pokela Main Road, Masiphumelele",capetown.gov.za
Matthew Goniwe Community Day Centre,"Kwahlaza Road, Makhaza, Khayelitsha",capetown.gov.za
Mayenzeke Clinic,"Fundana Road, Makhaza, Khayelitsha",capetown.gov.za
Melkbosstrand Clinic,"Robben Road, Melkbosstrand",capetown.gov.za
Melkbosstrand Mobile Clinic,"Robben Road, Melkbosstrand",capetown.gov.za
Men's Health Satellite Clinic,"Bellville Station, Bellville",capetown.gov.za
Muizenberg Clinic,"6 Atlantic Road, Muizenberg",capetown.gov.za
Mzamomhle Clinic,"Sagwityi Road, Browns Farm, Phillipi",capetown.gov.za
