Clinic Name,Address,Phone,Province,Source
Stanza Bopape II Clinic,,, Gauteng,tshwane.gov.za
Karenpark Clinic,"Heinrich Avenue, Karenpark, Akasia",,Gauteng,tshwane.gov.za
Rosslyn Clinic,,,Gauteng,tshwane.gov.za
Doornpoort Clinic,,,Gauteng,tshwane.gov.za
Atteridgeville Clinic,"Mareka Street, Pretoria",+27 12 358 3920,Gauteng,tshwane.gov.za
Danville Clinic,,,Gauteng,tshwane.gov.za
FF Ribeiro Clinic,"Sisulu Street, Pretoria",,Gauteng,tshwane.gov.za
Folang Clinic,"Es'kia Mphahlele Drive 175, Pretoria",,Gauteng,tshwane.gov.za
Gazankulu Clinic,"Maunde Street 18, Pretoria",,Gauteng,tshwane.gov.za
Hercules Clinic,,,Gauteng,tshwane.gov.za
Lotus Gardens Clinic,,,Gauteng,tshwane.gov.za
Phomolong Clinic,,,Gauteng,tshwane.gov.za
Saulsville Clinic,,,Gauteng,tshwane.gov.za
Eldoraigne Clinic,,,Gauteng,tshwane.gov.za
Laudium Clinic,,,Gauteng,tshwane.gov.za
Lyttelton Clinic,,,Gauteng,tshwane.gov.za
Olievenhoutbosch Ext 13 Clinic,,,Gauteng,tshwane.gov.za
Rooihuiskraal Clinic,,,Gauteng,tshwane.gov.za
East Lynne Clinic,,,Gauteng,tshwane.gov.za
Mamelodi West Clinic,"Nthsabeleng Street 6883, Mamelodi West, Pretoria",,Gauteng,tshwane.gov.za
Nellmapius Clinic,,,Gauteng,tshwane.gov.za
Phahameng Clinic,,,Gauteng,tshwane.gov.za
Pretoriuspark Clinic,,,Gauteng,tshwane.gov.za
Silverton Clinic,,,Gauteng,tshwane.gov.za
